python dblstm_crf_4.py 16 16 16 16 --epochs 2500
Iter= 2500 train-f1 23.38% avg acc 74.87% valid-f1 17.24% valid acc 58.78% avg. cost 13.254416
Iter= 2550 train-f1 23.46% avg acc 75.76% valid-f1 16.44% valid acc 60.03% avg. cost 12.725226
Iter= 2600 train-f1 23.16% avg acc 74.31% valid-f1 18.15% valid acc 57.94% avg. cost 12.557611
Iter= 2650 train-f1 22.70% avg acc 74.87% valid-f1 16.78% valid acc 58.66% avg. cost 12.406319
Iter= 2700 train-f1 24.63% avg acc 75.68% valid-f1 18.29% valid acc 60.12% avg. cost 12.354084
Iter= 2750 train-f1 22.97% avg acc 73.45% valid-f1 16.67% valid acc 60.18% avg. cost 12.452959
Iter= 2800 train-f1 22.06% avg acc 72.00% valid-f1 15.87% valid acc 57.70% avg. cost 12.745979
Iter= 2850 train-f1 22.83% avg acc 73.41% valid-f1 16.77% valid acc 58.91% avg. cost 12.968942
Iter= 2900 train-f1 22.54% avg acc 72.91% valid-f1 16.97% valid acc 56.59% avg. cost 12.771658
Iter= 2950 train-f1 26.12% avg acc 76.40% valid-f1 18.61% valid acc 60.62% avg. cost 12.271893
Iter= 3000 train-f1 25.55% avg acc 76.91% valid-f1 18.35% valid acc 60.07% avg. cost 11.494446
Iter= 3050 train-f1 24.98% avg acc 75.34% valid-f1 18.87% valid acc 59.26% avg. cost 11.367985
Iter= 3100 train-f1 25.28% avg acc 76.47% valid-f1 18.68% valid acc 59.81% avg. cost 11.231949
Iter= 3150 train-f1 26.29% avg acc 76.48% valid-f1 18.78% valid acc 59.64% avg. cost 11.079123
Iter= 3200 train-f1 26.02% avg acc 76.83% valid-f1 19.17% valid acc 60.37% avg. cost 11.041533
Iter= 3250 train-f1 27.35% avg acc 77.82% valid-f1 19.84% valid acc 60.56% avg. cost 10.890505
Iter= 3300 train-f1 26.38% avg acc 77.51% valid-f1 19.78% valid acc 59.94% avg. cost 10.969830
Iter= 3350 train-f1 26.87% avg acc 77.91% valid-f1 19.39% valid acc 60.66% avg. cost 10.882486
Iter= 3400 train-f1 26.04% avg acc 76.68% valid-f1 19.84% valid acc 59.64% avg. cost 10.935739
Iter= 3450 train-f1 26.80% avg acc 76.60% valid-f1 20.07% valid acc 59.05% avg. cost 10.772075
Iter= 3500 train-f1 26.84% avg acc 76.01% valid-f1 19.10% valid acc 60.38% avg. cost 10.748397
Iter= 3550 train-f1 26.15% avg acc 75.63% valid-f1 19.49% valid acc 60.45% avg. cost 10.963359
Iter= 3600 train-f1 27.02% avg acc 76.24% valid-f1 21.14% valid acc 61.26% avg. cost 11.363577
Iter= 3650 train-f1 24.29% avg acc 71.62% valid-f1 19.74% valid acc 55.40% avg. cost 11.365527
Iter= 3700 train-f1 28.00% avg acc 77.96% valid-f1 20.73% valid acc 61.38% avg. cost 10.957591
Iter= 3750 train-f1 28.21% avg acc 78.65% valid-f1 21.21% valid acc 60.77% avg. cost 10.137151
Iter= 3800 train-f1 28.56% avg acc 78.98% valid-f1 20.29% valid acc 61.13% avg. cost 9.897880
Iter= 3850 train-f1 28.60% avg acc 78.52% valid-f1 20.80% valid acc 60.81% avg. cost 9.895256
Iter= 3900 train-f1 28.23% avg acc 78.75% valid-f1 20.07% valid acc 60.77% avg. cost 9.721318
Iter= 3950 train-f1 28.17% avg acc 77.81% valid-f1 21.65% valid acc 60.21% avg. cost 9.683603
